Campaign_ID,Platform,Objective,CTR_est,CPC_est,Historical_CPC,Historical_ConvRate,Historical_Budget,Best_Source_Score,Leads_Forward,Leads_Rejected,Qualification_Rate,Active_Leads,Suggested_Budget
305,Facebook,Awareness,0.013,0.88,1.06,0.032,374,0.76,11,7,0.34,46,162
306,Google,Traffic,0.036,1.8,1.9,0.034,405,0.92,18,7,0.95,16,206
307,Facebook,Awareness,0.041,1.95,0.78,0.024,454,0.63,2,3,0.45,25,166
308,Google,Traffic,0.044,2.77,0.76,0.095,217,0.84,2,5,0.31,47,96
309,Facebook,Awareness,0.045,0.61,1.77,0.063,233,0.84,13,0,0.95,48,146
310,Google,Awareness,0.042,2.39,1.68,0.034,402,0.79,8,8,0.78,5,171
311,Facebook,Awareness,0.032,1.86,1.43,0.054,359,0.52,3,4,0.46,40,136
312,Facebook,Awareness,0.031,0.66,2.25,0.048,188,0.85,11,7,0.59,20,114
313,TikTok,Awareness,0.018,2.26,2.62,0.11,118,0.6,8,2,0.22,34,75
314,Facebook,Traffic,0.032,2.19,2.74,0.058,457,0.86,18,0,0.6,6,219
315,Google,Conversions,0.049,2.35,1.06,0.111,325,0.55,18,0,0.66,46,172
316,Google,Awareness,0.029,0.85,2.64,0.108,173,0.6,17,5,0.57,29,118
317,TikTok,Traffic,0.014,2.76,0.71,0.087,77,0.9,5,8,0.67,9,68
318,Google,Conversions,0.02,2.55,1.8,0.063,101,0.57,8,1,0.67,19,79
319,TikTok,Traffic,0.045,2.22,2.72,0.088,183,0.78,6,4,0.52,49,99
320,TikTok,Awareness,0.048,0.56,2.73,0.033,344,0.73,9,4,0.68,44,157
321,TikTok,Conversions,0.02,1.94,1.41,0.026,148,0.78,19,6,0.67,41,122
322,Facebook,Traffic,0.041,2.24,2.31,0.077,473,0.73,7,8,0.5,27,183
323,Google,Traffic,0.015,2.9,0.73,0.113,126,0.8,9,5,0.73,42,93
324,TikTok,Traffic,0.032,1.22,2.38,0.109,87,0.87,6,1,0.35,15,73
325,Google,Conversions,0.046,1.81,2.28,0.056,273,0.8,19,3,0.9,5,168
326,TikTok,Awareness,0.047,1.78,1.04,0.093,313,0.66,7,0,0.65,6,144
327,Facebook,Awareness,0.039,1.56,1.37,0.087,367,0.81,14,9,0.68,27,174
328,Facebook,Awareness,0.043,1.66,1.87,0.029,92,0.91,15,3,0.74,20,104
329,Facebook,Conversions,0.038,1.74,1.66,0.099,250,0.66,1,5,0.3,13,98
330,Google,Conversions,0.049,1.04,1.89,0.036,239,0.6,1,7,0.54,15,96
331,TikTok,Traffic,0.033,2.22,1.04,0.107,454,0.62,13,4,0.72,19,197
332,Google,Conversions,0.029,1.42,1.64,0.032,484,0.78,0,5,0.31,42,169
333,TikTok,Traffic,0.045,1.06,2.25,0.074,80,0.83,4,6,0.94,33,71
334,TikTok,Conversions,0.033,2.23,2.52,0.091,485,0.67,15,6,0.23,20,201
335,TikTok,Awareness,0.017,1.61,0.83,0.086,340,0.66,3,8,0.6,43,133
336,TikTok,Conversions,0.035,2.15,1.69,0.088,229,0.91,6,9,0.79,24,117
337,Facebook,Conversions,0.016,0.89,1.93,0.079,365,0.71,11,6,0.61,17,164
338,TikTok,Conversions,0.04,1.26,2.76,0.114,240,0.52,8,8,0.68,27,113
339,TikTok,Conversions,0.017,2.75,1.4,0.104,313,0.5,15,9,0.64,41,150
340,TikTok,Traffic,0.035,1.43,1.94,0.111,450,0.63,15,9,0.94,39,201
341,TikTok,Traffic,0.029,2.87,2.26,0.051,433,0.95,13,2,0.39,28,196
342,TikTok,Traffic,0.039,1.14,0.94,0.033,237,0.63,9,2,0.24,8,115
343,Facebook,Awareness,0.029,2.4,1.61,0.065,393,0.74,5,5,0.73,9,162
344,TikTok,Traffic,0.024,1.82,1.43,0.026,343,0.82,18,9,0.56,33,174
345,Google,Awareness,0.016,1.04,2.09,0.095,84,0.88,2,9,0.88,42,65
346,Facebook,Conversions,0.017,1.06,1.06,0.072,191,0.94,9,4,0.89,26,121
347,TikTok,Conversions,0.044,1.11,1.1,0.037,208,0.75,9,1,0.68,45,120
348,Google,Traffic,0.037,2.68,2.52,0.056,75,0.52,7,3,0.44,42,61
349,TikTok,Conversions,0.029,0.77,2.14,0.023,380,0.79,5,6,0.53,7,154
350,TikTok,Awareness,0.045,0.93,2.85,0.093,150,0.53,19,7,0.52,26,111
351,Google,Conversions,0.043,1.5,0.76,0.034,100,0.63,0,6,0.85,40,59
352,Facebook,Traffic,0.029,0.94,1.35,0.117,362,0.89,15,5,0.23,21,172
353,TikTok,Traffic,0.016,0.63,0.97,0.072,262,0.75,9,1,0.91,22,140
354,Facebook,Awareness,0.015,2.19,2.73,0.065,418,0.68,5,4,0.49,9,164
355,Google,Awareness,0.025,1.5,1.87,0.103,417,0.81,14,4,0.71,27,194
356,Google,Conversions,0.012,2.56,1.86,0.025,60,0.75,3,4,0.93,26,62
357,Facebook,Awareness,0.042,0.83,0.8,0.022,309,0.61,16,4,0.89,13,164
358,Google,Conversions,0.046,2.89,2.52,0.02,404,0.8,10,2,0.95,13,187
359,TikTok,Conversions,0.033,2.2,2.94,0.064,444,0.56,14,6,0.95,29,198
360,Facebook,Awareness,0.02,2.25,0.72,0.048,399,0.64,0,1,0.34,27,144
361,Google,Awareness,0.031,1.6,2.03,0.069,93,0.94,3,6,0.77,45,73
362,Facebook,Awareness,0.022,2.14,1.31,0.081,277,0.63,5,8,0.3,24,112
363,TikTok,Conversions,0.014,2.26,1.06,0.024,369,0.57,0,2,0.91,43,144
364,Google,Conversions,0.018,1.36,0.99,0.078,127,0.52,3,8,0.42,38,61
365,Facebook,Awareness,0.035,2.85,2.87,0.048,241,0.79,6,1,0.82,33,126
366,TikTok,Traffic,0.048,0.58,1.49,0.085,331,0.93,8,7,0.29,8,146
367,Facebook,Conversions,0.045,1.93,2.4,0.077,452,0.75,19,0,0.24,35,210
368,TikTok,Conversions,0.019,1.12,1.01,0.05,372,0.58,18,1,0.21,5,177
369,TikTok,Conversions,0.028,0.9,2.36,0.027,410,0.68,14,9,0.92,25,187
370,TikTok,Conversions,0.045,0.91,1.71,0.12,348,0.66,15,6,0.49,6,165
371,Facebook,Traffic,0.05,2.66,2.3,0.073,260,0.67,16,7,0.44,38,139
372,TikTok,Traffic,0.028,0.67,1.51,0.048,381,0.74,18,8,0.52,44,183
373,Facebook,Awareness,0.033,2.3,1.87,0.049,492,0.57,17,0,0.69,45,221
374,Facebook,Traffic,0.05,0.69,2.61,0.115,245,0.91,4,3,0.28,20,113
375,Google,Awareness,0.045,2.4,2.61,0.119,56,0.61,9,0,0.49,36,67
376,Facebook,Conversions,0.029,0.6,0.69,0.035,242,0.55,11,7,0.4,44,117
377,Google,Conversions,0.049,2.5,2.1,0.071,115,0.61,14,7,0.44,47,89
378,Google,Traffic,0.018,0.53,2.51,0.058,162,0.53,17,7,0.39,31,107
379,Google,Traffic,0.019,2.3,1.39,0.102,304,0.65,8,7,0.73,14,138
380,Google,Conversions,0.016,1.07,2.42,0.054,300,0.89,3,8,0.97,18,135
381,Facebook,Awareness,0.028,2.66,1.38,0.05,494,0.5,6,6,0.62,45,184
382,Google,Traffic,0.018,2.44,0.87,0.114,180,0.57,10,9,0.29,36,92
383,Google,Conversions,0.034,1.56,1.64,0.03,480,0.84,19,0,0.86,34,233
384,Facebook,Conversions,0.042,1.43,1.35,0.05,277,0.69,18,2,0.62,17,159
385,Google,Conversions,0.038,0.59,0.82,0.043,467,0.61,11,8,0.59,9,189
386,Google,Conversions,0.026,1.53,2.25,0.079,272,0.94,15,9,0.5,38,148
387,Facebook,Awareness,0.046,2.55,2.02,0.083,360,0.83,0,1,0.72,26,146
388,Google,Traffic,0.029,2.43,1.11,0.079,200,0.82,12,9,0.77,10,121
389,Facebook,Conversions,0.024,0.59,1.8,0.105,229,0.59,2,9,0.35,7,89
390,TikTok,Conversions,0.026,0.93,2.31,0.073,451,0.74,3,6,0.69,41,172
391,Google,Conversions,0.036,1.14,2.57,0.092,346,0.71,4,4,0.85,14,148
392,Facebook,Traffic,0.011,1.52,2.54,0.069,477,0.67,1,7,0.63,31,171
393,Google,Awareness,0.045,0.86,2.53,0.023,87,0.71,3,0,0.46,14,64
394,Facebook,Traffic,0.012,2.38,2.46,0.111,362,0.74,0,2,0.53,32,139
395,Facebook,Conversions,0.04,2.94,2.11,0.09,175,0.66,10,4,0.91,27,111
396,Facebook,Traffic,0.021,2.83,0.66,0.041,317,0.69,4,8,0.32,48,124
397,TikTok,Conversions,0.012,0.73,2.75,0.025,237,0.59,18,5,0.34,39,135
398,Facebook,Conversions,0.044,1.53,1.63,0.103,371,0.73,12,4,0.59,10,171
399,Facebook,Traffic,0.012,1.36,0.54,0.057,104,0.95,7,7,0.22,12,74
400,Google,Traffic,0.038,2.8,2.42,0.038,370,0.92,0,5,0.89,18,151
401,Google,Conversions,0.038,1.85,0.89,0.108,489,0.63,16,2,0.46,43,212
402,TikTok,Awareness,0.016,1.59,0.61,0.049,450,0.81,12,3,0.67,22,199
403,Facebook,Traffic,0.019,2.66,2.39,0.032,379,0.92,18,8,0.43,48,186
404,TikTok,Conversions,0.039,0.7,2.28,0.071,97,0.54,12,7,0.84,26,85
405,Google,Awareness,0.02,0.78,1.46,0.108,251,0.59,7,1,0.91,23,127
406,TikTok,Conversions,0.045,2.96,0.59,0.111,455,0.9,12,2,0.93,43,210
407,Facebook,Awareness,0.039,2.54,1.53,0.08,336,0.68,4,3,0.79,27,144
408,TikTok,Conversions,0.03,0.8,2.3,0.036,138,0.68,14,1,0.55,32,106
409,Facebook,Traffic,0.011,1.8,2.6,0.091,86,0.89,0,8,0.94,14,63
410,Facebook,Traffic,0.019,2.73,1.08,0.025,455,0.77,10,4,0.67,40,194
411,TikTok,Traffic,0.023,2.6,0.57,0.054,164,0.73,6,2,0.64,11,96
412,TikTok,Conversions,0.015,0.96,0.79,0.074,373,0.88,3,0,0.61,26,157
413,Google,Traffic,0.043,2.41,0.85,0.058,427,0.57,17,5,0.87,17,200
414,Google,Awareness,0.02,1.65,2.05,0.098,234,0.64,16,1,0.28,11,134
415,Facebook,Conversions,0.018,1.75,1.73,0.058,186,0.57,18,0,0.55,35,128
416,Facebook,Awareness,0.039,1.93,0.89,0.101,233,0.94,0,8,0.51,29,100
417,Facebook,Awareness,0.026,2.42,1.76,0.098,272,0.77,15,7,0.57,24,146
418,Facebook,Traffic,0.048,1.49,0.98,0.094,486,0.77,14,5,0.64,47,211
419,Facebook,Traffic,0.041,0.94,1.68,0.064,204,0.76,14,5,0.75,39,129
420,Google,Traffic,0.018,1.87,2.11,0.025,343,0.95,12,3,0.33,14,164
421,TikTok,Traffic,0.018,2.33,2.52,0.028,127,0.65,11,1,0.58,29,95
422,Google,Awareness,0.013,1.62,0.74,0.039,456,0.58,3,4,0.32,37,164
423,Facebook,Awareness,0.014,2.42,2.16,0.084,258,0.87,8,0,0.79,10,139
424,Facebook,Traffic,0.03,0.88,1.94,0.028,427,0.86,5,8,0.97,39,177
425,Facebook,Traffic,0.047,0.73,2.15,0.063,486,0.9,5,2,0.32,34,189
426,Google,Traffic,0.045,2.38,0.82,0.033,484,0.77,10,3,0.51,15,200
427,Facebook,Awareness,0.025,0.99,1.69,0.076,301,0.67,13,4,0.6,19,150
428,Facebook,Traffic,0.019,1.22,0.99,0.073,155,0.94,15,3,0.49,45,119
429,Facebook,Traffic,0.034,1.54,0.75,0.046,353,0.83,9,8,0.71,31,159
430,TikTok,Traffic,0.04,1.42,1.11,0.034,193,0.51,13,5,0.93,41,119
431,TikTok,Awareness,0.032,2.61,1.78,0.108,423,0.68,12,6,0.35,30,178
432,Google,Conversions,0.021,2.93,2.17,0.109,93,0.6,5,1,0.62,33,69
433,TikTok,Awareness,0.034,2.76,0.94,0.074,92,0.5,19,7,0.26,22,88
434,TikTok,Conversions,0.017,0.89,0.75,0.057,193,0.57,6,5,0.86,31,102
435,Facebook,Conversions,0.016,1.98,0.68,0.112,195,0.53,11,8,0.72,32,108
436,Facebook,Awareness,0.024,2.84,0.87,0.029,116,0.71,3,6,0.63,23,70
437,TikTok,Awareness,0.023,2.72,1.1,0.101,76,0.52,1,7,0.72,19,48
438,Facebook,Traffic,0.038,2.26,1.48,0.021,390,0.6,3,6,0.39,14,144
439,Google,Traffic,0.038,1.45,1.31,0.038,99,0.84,12,3,0.73,30,96
440,Google,Traffic,0.018,2.62,1.71,0.041,428,0.62,2,3,0.36,35,156
441,Google,Conversions,0.034,1.07,0.53,0.075,288,0.79,14,7,0.63,44,150
442,TikTok,Conversions,0.04,1.23,0.64,0.03,208,0.77,4,1,0.92,30,112
443,Facebook,Conversions,0.011,0.51,2.31,0.021,228,0.81,12,9,0.48,16,123
444,TikTok,Traffic,0.012,0.68,1.32,0.072,410,0.85,0,8,0.66,40,153
445,Google,Awareness,0.034,2.73,1.57,0.045,487,0.89,3,2,0.36,45,185
446,Google,Traffic,0.022,0.83,2.51,0.049,56,0.87,19,5,0.63,15,98
447,Google,Awareness,0.023,2.04,2.06,0.047,174,0.55,14,4,0.47,49,109
448,Facebook,Traffic,0.048,1.3,1.32,0.065,134,0.75,16,0,0.88,31,120
449,Google,Awareness,0.024,2.12,0.67,0.044,361,0.72,15,8,0.54,10,170
450,Facebook,Awareness,0.049,1.26,1.45,0.118,280,0.5,15,3,0.83,48,150
451,Google,Traffic,0.043,2.99,2.55,0.117,266,0.52,10,2,0.38,19,126
452,Google,Traffic,0.011,1.57,1.9,0.038,68,0.55,2,5,0.66,23,50
453,Facebook,Traffic,0.025,2.65,1.13,0.094,343,0.56,5,0,0.66,24,145
454,Google,Conversions,0.045,2.11,0.75,0.057,143,0.92,12,7,0.46,10,102
455,Google,Conversions,0.042,1.55,2.82,0.079,134,0.75,18,0,0.23,10,112
456,Google,Traffic,0.04,2.65,1.98,0.107,485,0.62,12,1,0.73,8,207
457,Google,Conversions,0.027,1.98,0.66,0.049,228,0.84,16,8,0.67,44,139
458,Google,Traffic,0.03,2.09,1.58,0.076,261,0.59,14,8,0.67,41,136
459,Google,Conversions,0.043,0.62,2.72,0.112,334,0.54,16,0,0.62,29,168
460,Google,Traffic,0.025,1.98,1.59,0.061,219,0.86,14,0,0.48,31,136
461,Google,Awareness,0.015,1.28,1.9,0.075,382,0.62,7,6,0.93,28,163
462,TikTok,Traffic,0.031,1.15,1.36,0.074,232,0.73,9,0,0.35,35,121
463,TikTok,Awareness,0.046,2.5,2.7,0.029,88,0.82,7,5,0.47,29,72
464,Google,Traffic,0.019,2.82,0.9,0.088,82,0.76,3,0,0.27,15,60
465,Facebook,Conversions,0.048,1.11,2.65,0.073,285,0.69,1,3,0.77,29,121
466,TikTok,Conversions,0.026,2.0,2.39,0.041,415,0.89,18,3,0.43,14,201
467,Facebook,Conversions,0.048,1.09,2.72,0.079,336,0.89,15,4,0.48,22,170
468,TikTok,Traffic,0.043,1.42,1.49,0.08,175,0.86,5,3,0.73,47,102
469,Google,Conversions,0.023,1.36,0.82,0.065,369,0.8,5,4,0.33,21,149
470,TikTok,Awareness,0.025,2.21,0.67,0.022,146,0.74,6,5,0.5,19,86
471,Facebook,Awareness,0.026,1.57,2.64,0.092,73,0.54,7,5,0.32,48,57
472,Facebook,Traffic,0.026,0.81,0.88,0.061,374,0.62,4,0,0.97,31,160
473,Facebook,Traffic,0.043,2.85,1.42,0.117,433,0.85,19,5,0.68,39,211
474,TikTok,Traffic,0.022,2.42,1.23,0.046,401,0.71,12,2,0.55,22,180
475,Facebook,Traffic,0.031,1.03,1.91,0.067,293,0.74,15,6,0.65,25,154
476,TikTok,Conversions,0.048,1.99,2.0,0.088,293,0.56,6,4,0.46,11,124
477,Google,Traffic,0.012,0.68,0.72,0.071,237,0.61,14,7,0.43,45,125
478,TikTok,Traffic,0.01,2.52,2.17,0.033,208,0.67,2,2,0.56,18,96
479,TikTok,Conversions,0.036,1.34,1.67,0.056,87,0.59,7,8,0.86,24,70
480,Facebook,Traffic,0.035,0.67,0.85,0.072,294,0.61,8,9,0.38,5,125
481,TikTok,Conversions,0.049,1.36,0.79,0.053,390,0.81,9,8,0.31,44,162
482,Google,Conversions,0.026,1.43,1.06,0.052,221,0.8,14,1,0.56,16,135
483,Google,Awareness,0.035,1.26,1.2,0.069,139,0.78,13,5,0.62,12,105
484,Google,Awareness,0.045,1.41,2.34,0.027,209,0.77,0,2,0.31,16,90
485,Facebook,Traffic,0.014,0.63,2.31,0.109,444,0.8,10,1,0.59,41,193
486,Facebook,Awareness,0.034,2.09,1.69,0.039,122,0.73,10,5,0.52,15,88
487,TikTok,Awareness,0.014,1.65,1.06,0.115,50,0.84,6,5,0.79,28,66
488,TikTok,Conversions,0.027,2.6,1.61,0.021,257,0.78,18,0,0.52,20,155
489,Facebook,Traffic,0.037,1.54,2.18,0.022,116,0.67,7,3,0.77,22,84
490,TikTok,Traffic,0.047,2.83,2.03,0.071,459,0.88,6,6,0.89,15,190
491,TikTok,Traffic,0.049,2.98,2.04,0.021,327,0.77,3,4,0.61,36,136
492,TikTok,Conversions,0.022,2.88,1.15,0.086,308,0.58,4,2,0.4,19,125
493,Google,Traffic,0.048,0.79,2.49,0.08,114,0.94,13,7,0.85,12,104
494,TikTok,Conversions,0.047,1.27,1.07,0.098,397,0.89,9,3,0.75,16,180
495,Google,Awareness,0.039,1.97,1.0,0.025,153,0.63,5,6,0.32,49,77
496,Google,Conversions,0.02,1.64,0.56,0.027,67,0.85,19,8,0.64,9,97
497,Facebook,Traffic,0.034,2.81,2.84,0.052,371,0.73,0,7,0.64,21,139
498,Google,Conversions,0.039,2.97,0.58,0.105,446,0.57,12,5,0.46,14,185
499,TikTok,Traffic,0.028,0.57,0.82,0.072,487,0.64,17,7,0.38,40,208
500,TikTok,Traffic,0.022,2.7,0.95,0.051,237,0.51,19,0,0.56,32,145
501,Google,Awareness,0.011,0.51,1.0,0.114,122,0.56,12,6,0.2,44,81
502,Facebook,Awareness,0.046,1.28,0.61,0.071,271,0.57,7,2,0.48,47,123
503,Facebook,Conversions,0.038,1.36,1.78,0.076,435,0.92,2,4,0.78,41,174
504,TikTok,Traffic,0.022,1.64,2.14,0.057,390,0.66,6,0,0.91,37,170
505,Google,Traffic,0.045,2.64,1.67,0.091,174,0.81,14,2,0.93,46,128
506,Google,Awareness,0.019,2.69,1.8,0.082,149,0.5,6,7,0.25,28,72
507,Facebook,Awareness,0.011,0.58,1.76,0.031,155,0.65,5,2,0.47,45,85
508,Facebook,Conversions,0.014,2.88,1.09,0.031,317,0.72,17,0,0.48,6,168
509,Google,Conversions,0.013,2.5,0.94,0.119,442,0.64,18,2,0.73,10,209
510,Google,Awareness,0.014,2.44,1.66,0.111,442,0.63,4,8,0.58,5,165
511,Facebook,Awareness,0.024,2.22,0.72,0.035,194,0.82,14,0,0.45,7,126
512,Google,Conversions,0.048,1.41,2.76,0.069,237,0.75,19,2,0.29,10,144
513,Facebook,Awareness,0.015,1.81,0.69,0.059,90,0.6,3,9,0.87,9,60
514,Google,Awareness,0.037,1.31,2.85,0.116,375,0.63,9,5,0.83,13,165
515,TikTok,Awareness,0.031,2.84,1.64,0.044,323,0.84,9,3,0.59,15,153
516,Facebook,Conversions,0.038,1.83,0.99,0.066,282,0.82,12,4,0.89,26,153
517,Facebook,Awareness,0.018,0.79,1.4,0.06,488,0.53,15,2,0.45,21,206
518,Facebook,Conversions,0.041,2.12,1.66,0.116,138,0.52,15,5,0.48,36,99
519,TikTok,Conversions,0.04,2.65,1.2,0.06,85,0.91,13,9,0.31,36,82
520,Facebook,Traffic,0.026,2.1,2.56,0.074,468,0.68,1,5,0.48,35,167
521,TikTok,Traffic,0.03,0.94,2.64,0.068,126,0.59,7,3,0.71,43,84
522,Facebook,Awareness,0.019,2.97,2.18,0.064,170,0.78,1,5,0.34,47,78
523,Facebook,Traffic,0.033,2.9,1.85,0.117,431,0.66,11,1,0.73,32,190
524,Google,Traffic,0.025,2.53,0.76,0.113,487,0.65,18,6,0.49,20,214
525,Google,Traffic,0.011,1.78,2.45,0.053,299,0.74,17,0,0.55,17,165
526,Google,Conversions,0.041,1.46,1.87,0.033,278,0.94,1,4,0.57,14,121
527,Facebook,Traffic,0.033,2.49,0.74,0.062,274,0.78,9,5,0.83,36,139
528,Facebook,Conversions,0.048,2.25,0.68,0.074,285,0.92,0,1,0.65,45,125
529,Facebook,Awareness,0.029,2.11,0.76,0.064,204,0.58,5,1,0.41,47,98
530,Google,Conversions,0.011,0.61,1.44,0.057,193,0.68,18,3,0.47,25,129
531,Facebook,Conversions,0.043,0.63,1.13,0.023,84,0.78,18,3,0.81,41,106
532,Google,Conversions,0.024,0.52,2.34,0.029,387,0.52,10,1,0.51,17,165
533,Facebook,Traffic,0.039,2.77,2.13,0.115,469,0.72,2,6,0.51,27,171
534,Google,Conversions,0.043,1.24,0.69,0.073,470,0.62,17,9,0.48,45,202
535,Google,Traffic,0.015,2.47,1.05,0.04,228,0.78,15,0,0.37,14,136
536,TikTok,Conversions,0.026,1.41,1.97,0.057,425,0.53,17,6,0.21,24,184
537,Facebook,Awareness,0.037,2.75,2.35,0.071,163,0.82,7,9,0.89,35,99
538,Facebook,Traffic,0.015,2.58,1.03,0.046,331,0.75,12,4,0.32,33,154
539,Facebook,Awareness,0.032,0.99,2.45,0.071,363,0.82,8,2,0.66,32,164
540,TikTok,Traffic,0.025,0.56,1.25,0.065,452,0.61,11,3,0.26,11,183
541,Google,Traffic,0.035,2.26,2.63,0.042,284,0.59,6,3,0.21,44,119
542,Facebook,Conversions,0.02,1.76,0.64,0.042,234,0.57,12,6,0.72,7,125
543,TikTok,Traffic,0.04,0.59,0.71,0.045,214,0.51,3,9,0.58,9,89
544,Google,Conversions,0.029,2.79,1.75,0.067,178,0.84,19,6,0.39,13,127
545,Google,Awareness,0.025,1.94,2.35,0.086,416,0.79,1,8,0.57,48,154
546,Facebook,Awareness,0.024,2.72,1.75,0.057,399,0.63,10,2,0.74,29,176
547,TikTok,Awareness,0.021,2.59,1.8,0.096,426,0.94,8,3,0.72,44,187
548,Google,Awareness,0.033,2.27,0.82,0.094,200,0.65,18,7,0.62,23,129
549,TikTok,Awareness,0.037,2.97,2.37,0.021,117,0.9,0,7,0.27,9,60
550,Facebook,Traffic,0.034,2.49,2.86,0.112,351,0.79,13,2,0.21,45,163
551,Facebook,Traffic,0.015,2.12,1.89,0.108,410,0.86,11,9,0.75,14,182
552,Google,Traffic,0.047,0.78,0.79,0.084,263,0.62,19,1,0.35,44,151
553,Facebook,Conversions,0.017,0.65,1.82,0.108,163,0.55,18,6,0.55,22,115
554,TikTok,Conversions,0.017,1.35,0.73,0.024,128,0.91,12,5,0.24,9,95
555,Facebook,Awareness,0.03,0.85,2.66,0.104,412,0.78,16,8,0.83,39,195
556,TikTok,Awareness,0.024,1.06,2.76,0.035,407,0.61,4,1,0.83,34,166
557,TikTok,Conversions,0.022,2.53,2.65,0.104,182,0.85,16,0,0.74,9,134
558,Google,Conversions,0.025,0.95,2.77,0.061,139,0.57,7,3,0.95,33,92
559,Facebook,Conversions,0.036,1.57,2.74,0.037,168,0.75,4,1,0.64,15,94
560,Google,Conversions,0.031,0.63,2.83,0.031,461,0.73,8,7,0.29,21,179
561,Google,Traffic,0.046,1.3,2.46,0.039,191,0.55,11,4,0.58,33,108
562,Facebook,Conversions,0.017,1.25,2.72,0.104,399,0.54,2,6,0.4,7,142
563,Google,Conversions,0.035,1.69,2.95,0.072,148,0.58,3,3,0.71,10,80
564,Google,Conversions,0.023,1.07,0.76,0.058,351,0.68,19,1,0.52,40,182
565,Google,Conversions,0.017,1.53,1.75,0.062,86,0.67,0,9,0.79,29,52
566,Google,Conversions,0.014,2.79,1.95,0.09,400,0.72,2,8,0.29,15,144
567,Facebook,Conversions,0.048,2.86,2.28,0.071,124,0.82,2,5,0.49,38,71
568,Google,Traffic,0.042,2.95,1.78,0.095,343,0.69,3,3,0.55,38,139
569,TikTok,Awareness,0.031,2.95,2.69,0.065,83,0.8,17,8,0.63,37,96
570,Facebook,Traffic,0.019,1.72,2.31,0.037,431,0.59,17,6,0.87,32,200
571,Facebook,Traffic,0.014,1.55,1.62,0.034,152,0.5,15,1,0.3,20,103
572,TikTok,Awareness,0.018,1.69,0.59,0.085,368,0.74,12,1,0.85,15,178
573,TikTok,Conversions,0.02,0.55,2.79,0.066,97,0.56,0,7,0.61,12,51
574,TikTok,Traffic,0.034,1.62,0.5,0.098,173,0.79,1,1,0.75,11,92
575,Google,Awareness,0.023,1.1,2.79,0.093,436,0.83,0,8,0.74,35,162
576,TikTok,Awareness,0.044,0.67,1.08,0.063,266,0.52,9,3,0.3,45,120
577,Google,Traffic,0.041,2.24,2.99,0.06,254,0.85,1,8,0.67,28,109
578,Facebook,Traffic,0.044,2.08,1.14,0.031,180,0.79,11,2,0.55,46,114
579,TikTok,Traffic,0.01,2.09,2.11,0.054,82,0.68,17,1,0.65,10,99
580,TikTok,Awareness,0.021,0.71,1.79,0.078,439,0.66,12,7,0.51,46,184
581,Facebook,Traffic,0.025,1.82,1.67,0.034,219,0.7,13,0,0.5,48,129
582,Facebook,Conversions,0.03,1.62,1.98,0.07,424,0.91,6,7,0.45,33,171
583,Google,Conversions,0.015,1.39,1.55,0.055,483,0.55,2,4,0.45,16,171
584,TikTok,Conversions,0.036,1.19,2.52,0.104,263,0.58,13,9,0.38,40,127
585,TikTok,Traffic,0.027,0.92,0.58,0.074,88,0.86,16,6,0.46,37,95
586,Google,Conversions,0.05,2.86,2.3,0.073,76,0.66,6,4,0.74,47,68
587,Facebook,Traffic,0.022,1.47,0.91,0.045,300,0.88,5,0,0.78,29,144
588,Facebook,Traffic,0.039,2.17,1.03,0.039,191,0.52,14,3,0.51,5,115
589,TikTok,Traffic,0.032,1.12,1.84,0.045,498,0.89,3,9,0.65,27,187
590,Facebook,Traffic,0.019,2.0,1.77,0.076,145,0.8,19,8,0.34,31,113
591,Google,Awareness,0.031,2.02,0.85,0.116,307,0.9,12,0,0.83,27,165
592,Google,Awareness,0.047,0.78,1.61,0.036,235,0.94,3,2,0.4,35,112
593,Facebook,Traffic,0.029,0.61,2.47,0.094,339,0.79,7,6,0.57,22,148
594,TikTok,Traffic,0.046,0.53,2.46,0.023,426,0.78,4,0,0.83,19,177
595,Google,Conversions,0.035,2.61,2.91,0.105,213,0.72,8,8,0.39,9,105
596,TikTok,Traffic,0.027,1.57,0.68,0.046,108,0.62,11,0,0.61,45,90
597,TikTok,Traffic,0.014,0.9,1.19,0.096,77,0.72,1,1,0.62,11,58
598,Facebook,Awareness,0.016,0.68,1.15,0.054,412,0.94,13,8,0.42,34,184
599,TikTok,Conversions,0.034,0.97,3.0,0.027,357,0.61,15,2,0.7,37,174
600,Google,Traffic,0.039,2.87,2.3,0.105,318,0.64,0,8,0.61,25,118
601,Google,Awareness,0.027,2.72,2.65,0.1,393,0.56,2,0,0.45,9,148
602,Google,Traffic,0.021,2.29,0.53,0.048,77,0.78,18,1,0.88,26,108
603,TikTok,Awareness,0.026,1.68,1.57,0.03,120,0.83,6,0,0.74,8,90
604,TikTok,Traffic,0.046,2.77,1.8,0.024,123,0.5,0,7,0.8,30,60
605,Facebook,Awareness,0.037,1.94,0.67,0.072,409,0.7,6,0,0.35,14,165
606,TikTok,Conversions,0.045,1.15,1.24,0.066,134,0.79,7,0,0.37,13,88
607,Facebook,Awareness,0.01,2.74,2.52,0.056,126,0.64,19,5,0.33,23,106
608,Facebook,Traffic,0.044,1.21,1.25,0.119,372,0.92,8,3,0.66,5,169
609,TikTok,Conversions,0.031,0.82,2.12,0.04,348,0.57,1,2,0.56,26,133
610,TikTok,Awareness,0.013,2.46,1.12,0.07,323,0.88,3,2,0.89,42,146
